agency_cd,site_no,datetime,discharge.max,discharge.max.approval,discharge.min,discharge.min.approval,discharge.mean,discharge.mean.approval,gage.height.max,gage.height.max.approval,gage.height.min,gage.height.min.approval,gage.height.mean,gage.height.mean.approval
USGS,2085000,7/9/1928,NA,,NA,,9.8,A,NA,,NA,,NA,
USGS,2085000,7/10/1928,NA,,NA,,17,A,NA,,NA,,NA,
USGS,2085000,7/11/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,7/12/1928,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,7/13/1928,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,7/14/1928,NA,,NA,,40,A,NA,,NA,,NA,
USGS,2085000,7/15/1928,NA,,NA,,18,A,NA,,NA,,NA,
USGS,2085000,7/16/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,7/17/1928,NA,,NA,,14,A,NA,,NA,,NA,
USGS,2085000,7/18/1928,NA,,NA,,13,A,NA,,NA,,NA,
USGS,2085000,7/19/1928,NA,,NA,,11,A,NA,,NA,,NA,
USGS,2085000,7/20/1928,NA,,NA,,10,A,NA,,NA,,NA,
USGS,2085000,7/21/1928,NA,,NA,,9.4,A,NA,,NA,,NA,
USGS,2085000,7/22/1928,NA,,NA,,8.7,A,NA,,NA,,NA,
USGS,2085000,7/23/1928,NA,,NA,,12,A,NA,,NA,,NA,
USGS,2085000,7/24/1928,NA,,NA,,13,A,NA,,NA,,NA,
USGS,2085000,7/25/1928,NA,,NA,,11,A,NA,,NA,,NA,
USGS,2085000,7/26/1928,NA,,NA,,10,A,NA,,NA,,NA,
USGS,2085000,7/27/1928,NA,,NA,,9.4,A,NA,,NA,,NA,
USGS,2085000,7/28/1928,NA,,NA,,8.3,A,NA,,NA,,NA,
USGS,2085000,7/29/1928,NA,,NA,,9.4,A,NA,,NA,,NA,
USGS,2085000,7/30/1928,NA,,NA,,8.3,A,NA,,NA,,NA,
USGS,2085000,7/31/1928,NA,,NA,,7.7,A,NA,,NA,,NA,
USGS,2085000,8/1/1928,NA,,NA,,7,A,NA,,NA,,NA,
USGS,2085000,8/2/1928,NA,,NA,,6.4,A,NA,,NA,,NA,
USGS,2085000,8/3/1928,NA,,NA,,5.7,A,NA,,NA,,NA,
USGS,2085000,8/4/1928,NA,,NA,,5.2,A,NA,,NA,,NA,
USGS,2085000,8/5/1928,NA,,NA,,4.7,A,NA,,NA,,NA,
USGS,2085000,8/6/1928,NA,,NA,,12,A,NA,,NA,,NA,
USGS,2085000,8/7/1928,NA,,NA,,11,A,NA,,NA,,NA,
USGS,2085000,8/8/1928,NA,,NA,,17,A,NA,,NA,,NA,
USGS,2085000,8/9/1928,NA,,NA,,22,A,NA,,NA,,NA,
USGS,2085000,8/10/1928,NA,,NA,,25,A,NA,,NA,,NA,
USGS,2085000,8/11/1928,NA,,NA,,404,A,NA,,NA,,NA,
USGS,2085000,8/12/1928,NA,,NA,,102,A,NA,,NA,,NA,
USGS,2085000,8/13/1928,NA,,NA,,65,A,NA,,NA,,NA,
USGS,2085000,8/14/1928,NA,,NA,,51,A,NA,,NA,,NA,
USGS,2085000,8/15/1928,NA,,NA,,235,A,NA,,NA,,NA,
USGS,2085000,8/16/1928,NA,,NA,,764,A,NA,,NA,,NA,
USGS,2085000,8/17/1928,NA,,NA,,235,A,NA,,NA,,NA,
USGS,2085000,8/18/1928,NA,,NA,,91,A,NA,,NA,,NA,
USGS,2085000,8/19/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,8/20/1928,NA,,NA,,43,A,NA,,NA,,NA,
USGS,2085000,8/21/1928,NA,,NA,,32,A,NA,,NA,,NA,
USGS,2085000,8/22/1928,NA,,NA,,29,A,NA,,NA,,NA,
USGS,2085000,8/23/1928,NA,,NA,,27,A,NA,,NA,,NA,
USGS,2085000,8/24/1928,NA,,NA,,25,A,NA,,NA,,NA,
USGS,2085000,8/25/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,8/26/1928,NA,,NA,,34,A,NA,,NA,,NA,
USGS,2085000,8/27/1928,NA,,NA,,29,A,NA,,NA,,NA,
USGS,2085000,8/28/1928,NA,,NA,,26,A,NA,,NA,,NA,
USGS,2085000,8/29/1928,NA,,NA,,24,A,NA,,NA,,NA,
USGS,2085000,8/30/1928,NA,,NA,,22,A,NA,,NA,,NA,
USGS,2085000,8/31/1928,NA,,NA,,24,A,NA,,NA,,NA,
USGS,2085000,9/1/1928,NA,,NA,,96,A,NA,,NA,,NA,
USGS,2085000,9/2/1928,NA,,NA,,235,A,NA,,NA,,NA,
USGS,2085000,9/3/1928,NA,,NA,,474,A,NA,,NA,,NA,
USGS,2085000,9/4/1928,NA,,NA,,182,A,NA,,NA,,NA,
USGS,2085000,9/5/1928,NA,,NA,,574,A,NA,,NA,,NA,
USGS,2085000,9/6/1928,NA,,NA,,1930,A,NA,,NA,,NA,
USGS,2085000,9/7/1928,NA,,NA,,277,A,NA,,NA,,NA,
